Date,Open,High,Low,Close,Adj Close,Volume
2017-06-23,2.500000,2.500000,2.500000,2.500000,2.363988,600
2017-06-26,2.500000,2.500000,2.500000,2.500000,2.363988,0
2017-06-27,2.510000,2.560000,2.510000,2.560000,2.420724,10200
2017-06-28,2.590000,2.730000,2.560000,2.730000,2.581475,4200
2017-06-29,2.620000,2.700000,2.620000,2.700000,2.553108,37300
2017-06-30,2.560000,2.560000,2.560000,2.560000,2.420724,66500
2017-07-03,2.600000,2.600000,2.600000,2.600000,2.458548,500
2017-07-05,2.600000,2.600000,2.600000,2.600000,2.458548,0
2017-07-06,2.650000,2.650000,2.610000,2.610000,2.468004,20000
2017-07-07,2.610000,2.610000,2.610000,2.610000,2.468004,0
2017-07-10,2.610000,2.610000,2.610000,2.610000,2.468004,0
2017-07-11,2.620000,2.620000,2.570000,2.610000,2.468004,23600
2017-07-12,2.610000,2.610000,2.610000,2.610000,2.468004,0
2017-07-13,2.680000,2.680000,2.680000,2.680000,2.534196,10200
2017-07-14,2.670000,2.670000,2.670000,2.670000,2.524740,2400
2017-07-17,2.700000,2.700000,2.700000,2.700000,2.553108,300
2017-07-18,2.720000,2.720000,2.720000,2.720000,2.572020,1000
2017-07-19,2.650000,2.650000,2.650000,2.650000,2.505828,300
2017-07-20,2.620000,2.630000,2.620000,2.630000,2.486916,5700
2017-07-21,2.630000,2.630000,2.630000,2.630000,2.486916,0
2017-07-24,2.610000,2.630000,2.600000,2.600000,2.458548,46000
2017-07-25,2.680000,2.700000,2.680000,2.680000,2.534196,12300
2017-07-26,2.690000,2.850000,2.690000,2.850000,2.694947,1200
2017-07-27,2.630000,2.630000,2.630000,2.630000,2.486916,5300
2017-07-28,2.750000,2.800000,2.750000,2.800000,2.647667,19700
2017-07-31,2.610000,2.610000,2.610000,2.610000,2.468004,100
2017-08-01,2.660000,2.700000,2.660000,2.700000,2.553108,8500
2017-08-02,2.660000,2.660000,2.660000,2.660000,2.515284,40000
2017-08-03,2.660000,2.660000,2.660000,2.660000,2.515284,0
2017-08-04,2.660000,2.660000,2.660000,2.660000,2.515284,9500
2017-08-07,2.660000,2.670000,2.660000,2.670000,2.524740,42600
2017-08-08,2.650000,2.650000,2.650000,2.650000,2.505828,9300
2017-08-09,2.640000,2.640000,2.640000,2.640000,2.496372,300
2017-08-10,2.560000,2.560000,2.560000,2.560000,2.429928,27700
2017-08-11,2.510000,2.510000,2.510000,2.510000,2.382469,34600
2017-08-14,2.610000,2.650000,2.610000,2.650000,2.515356,1000
2017-08-15,2.650000,2.650000,2.650000,2.650000,2.515356,0
2017-08-16,2.650000,2.650000,2.650000,2.650000,2.515356,0
2017-08-17,2.510000,2.510000,2.430000,2.430000,2.306534,7300
2017-08-18,2.420000,2.420000,2.420000,2.420000,2.297042,1000
2017-08-21,2.420000,2.420000,2.420000,2.420000,2.297042,0
2017-08-22,2.420000,2.420000,2.420000,2.420000,2.297042,23500
2017-08-23,2.420000,2.420000,2.420000,2.420000,2.297042,900
2017-08-24,2.490000,2.490000,2.440000,2.440000,2.316025,2000
